#t,ms massf-Ar+
4.20522 1.742619899792068701e-03
4.20805 1.745904702837957267e-03
4.21032 1.748499692160047306e-03
4.21259 1.751071663828298198e-03
4.21543 1.754264435407748221e-03
4.21771 1.756803042338352366e-03
4.22054 1.759951051761936150e-03
4.22281 1.762455249746782294e-03
4.22508 1.764957175639709098e-03
4.22792 1.768088689250939000e-03
4.23019 1.770586468291153025e-03
4.23302 1.773694136980398517e-03
4.23529 1.776161811572516715e-03
4.23757 1.778585833260918009e-03
4.24041 1.781534952929741608e-03
4.24268 1.783819652613384630e-03
4.24552 1.786577529750240983e-03
4.24778 1.788698415794566553e-03
4.25005 1.790749279920525244e-03
4.25289 1.793224230946494947e-03
4.25516 1.795137697864694669e-03
4.258 1.797461154012768014e-03
4.26026 1.799279932297268882e-03
4.26253 1.801072637928634096e-03
4.26537 1.803275047710315099e-03
4.26765 1.804975877865923730e-03
4.27049 1.806977396699839620e-03
4.27276 1.808513021703463336e-03
4.27503 1.810043761755554797e-03
4.27787 1.811959400164735688e-03
4.28013 1.813485913905877071e-03
4.28297 1.815370675261768988e-03
4.28525 1.816858250065510154e-03
4.28751 1.818330922386017122e-03
4.29035 1.820163476076821921e-03
4.29262 1.821634594659325181e-03
4.29546 1.823492644597449110e-03
4.29773 1.825015359886436551e-03
4.3 1.826575296935539511e-03
4.30284 1.828576363985511162e-03
4.30511 1.830211651950968679e-03
4.30796 1.832264185378507581e-03
4.31023 1.833908707511518318e-03
4.31251 1.835550203109139562e-03
4.31535 1.837588676031333369e-03
4.31761 1.839205400460695427e-03
4.32045 1.841219024328916544e-03
4.32272 1.842829945011604815e-03
4.32556 1.844848347537889370e-03
4.32783 1.846479106552845802e-03
4.3301 1.848131674816068945e-03
4.33294 1.850231752794549277e-03
4.33521 1.851942268063993180e-03
4.33806 1.854124829596924973e-03
4.34033 1.855908405717919193e-03
4.34261 1.857719863617753563e-03
4.34544 1.860003678361480750e-03
4.34771 1.861837884931540890e-03
4.35055 1.864129389251537212e-03
4.35283 1.865980399161674573e-03
4.3551 1.867885430369643470e-03
4.35793 1.870361006755033887e-03
4.3602 1.872417147681989386e-03
4.36304 1.875068918330054712e-03
4.36532 1.877239713869518134e-03
4.36759 1.879455233303324287e-03
4.37043 1.882293078250446648e-03
4.37271 1.884629153126290155e-03
4.37555 1.887663756143445094e-03
4.37782 1.890186800402366644e-03
4.3801 1.892788368561591685e-03
4.38294 1.896108405458620753e-03
4.38521 1.898802171708134472e-03
4.38805 1.902210973100674791e-03
4.39032 1.904969015727431140e-03
4.39259 1.907748422800147666e-03
4.39544 1.911249055376373690e-03
4.39771 1.914073124315097572e-03
4.40055 1.917647518534088252e-03
4.40282 1.920544698773221518e-03
4.4051 1.923472725852251423e-03
4.40794 1.927175109910217151e-03
4.41022 1.930169946730840233e-03
4.41306 1.933949630574384286e-03
4.41533 1.937003228548735134e-03
4.4176 1.940077592299726096e-03
4.42045 1.943930631322772886e-03
4.42272 1.946986890834219051e-03
4.42556 1.950770733802338446e-03
4.42783 1.953793209330898645e-03
4.43011 1.956859631413952402e-03
4.43295 1.960759870778579304e-03
4.43523 1.963931481111231940e-03
4.43807 1.967958894812130762e-03
4.44034 1.971223394286390675e-03
4.44262 1.974509653089066494e-03
4.44546 1.978635940644024767e-03
4.44774 1.981956672414559358e-03
4.45001 1.985300379146372890e-03
4.45285 1.989537739490562958e-03
4.45512 1.992985023285358953e-03
4.45797 1.997355441356880000e-03
4.46025 2.000860897640534090e-03
4.46253 2.004355329925821671e-03
4.46537 2.008687067728829809e-03
4.46764 2.012131071437735837e-03
4.47048 2.016419430067258045e-03
4.47276 2.019834457396419650e-03
4.47504 2.023236808787176860e-03
4.47788 2.027474720275833798e-03
4.48015 2.030852687481966411e-03
4.48299 2.035061475962322407e-03
4.48526 2.038425236359629744e-03
4.48755 2.041791317491473481e-03
4.4904 2.045967459741871407e-03
4.49267 2.049240936495649607e-03
4.49551 2.053225443097644182e-03
4.49779 2.056347908123415044e-03
4.50007 2.059430734298422095e-03
4.50292 2.063282042557744705e-03
4.50519 2.066370017035655971e-03
4.50803 2.070253284834360722e-03
4.51031 2.073376240776484726e-03
4.51258 2.076502381273433433e-03
4.51543 2.080403156785847092e-03
4.51771 2.083499968776047605e-03
4.52056 2.087328940073188404e-03
4.52283 2.090367907778960168e-03
4.5251 2.093400628949634596e-03
4.52795 2.097210766978756941e-03
4.53023 2.100280433118880113e-03
4.53251 2.103352901368995675e-03
4.53535 2.107172199288206201e-03
4.53763 2.110188791854608614e-03
4.54047 2.113895110594870251e-03
